imdb_title_id,title,year,genre,duration,country,language,director,writer,production_company,actors,budget,usa_gross_income,worlwide_gross_income,reviews_from_users,reviews_from_critics
tt0012190,The Four Horsemen of the Apocalypse,1921,"Drama, Romance, War",150,USA,None,Rex Ingram,"Vicente Blasco IbÄ‚Ë‡Ä‚Â±ez, June Mathis",Metro Pictures Corporation,"Pomeroy Cannon, Josef Swickard, Bridgetta Clark, Rudolph Valentino, Virginia Warwick, Alan Hale, Mabel Van Buren, Stuart Holmes, John St. Polis, Alice Terry, Mark Fenton, Derek Ghent, Nigel De Brulier, Bowditch M. Turner, Edward Connelly",800000,9183673,9183673,44.0,16.0
tt0021749,City Lights,1931,"Comedy, Drama, Romance",87,USA,English,Charles Chaplin,Charles Chaplin,Charles Chaplin Productions,"Virginia Cherrill, Florence Lee, Harry Myers, Al Ernest Garcia, Hank Mann, Charles Chaplin",1500000,19181,32609,270.0,120.0
tt0027977,Modern Times,1936,"Comedy, Drama, Family",87,USA,English,Charles Chaplin,Charles Chaplin,Charles Chaplin Productions,"Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford, Chester Conklin, Hank Mann, Stanley Blystone, Al Ernest Garcia, Richard Alexander, Cecil Reynolds, Mira McKinney, Murdock MacQuarrie, Wilfred Lucas, Edward LeSaint, Fred Malatesta",1500000,163577,445226,262.0,146.0
tt0029583,Snow White and the Seven Dwarfs,1937,"Animation, Family, Fantasy",83,USA,English,"William Cottrell, David Hand","Jacob Grimm, Wilhelm Grimm",Walt Disney Productions,"Roy Atwell, Stuart Buchanan, Adriana Caselotti, Eddie Collins, Pinto Colvig, Marion Darlington, Billy Gilbert, Otis Harlan, Lucille La Verne, James MacDonald, Scotty Mattraw, Moroni Olsen, Purv Pullen, Harry Stockwell",1499000,184925486,184925486,229.0,166.0
tt0031381,Gone with the Wind,1939,"Drama, History, Romance",238,USA,English,"Victor Fleming, George Cukor","Margaret Mitchell, Sidney Howard",Selznick International Pictures,"Thomas Mitchell, Barbara O'Neil, Vivien Leigh, Evelyn Keyes, Ann Rutherford, George Reeves, Fred Crane, Hattie McDaniel, Oscar Polk, Butterfly McQueen, Victor Jory, Everett Brown, Howard Hickman, Alicia Rhett, Leslie Howard",3977000,200852579,402352579,808.0,183.0
tt0031679,Mr. Smith Goes to Washington,1939,"Comedy, Drama",129,USA,English,Frank Capra,"Sidney Buchman, Lewis R. Foster",Columbia Pictures,"Jean Arthur, James Stewart, Claude Rains, Edward Arnold, Guy Kibbee, Thomas Mitchell, Eugene Pallette, Beulah Bondi, H.B. Warner, Harry Carey, Astrid Allwyn, Ruth Donnelly, Grant Mitchell, Porter Hall, H.V. Kaltenborn",1900000,144738,144738,272.0,110.0
tt0032138,The Wizard of Oz,1939,"Adventure, Family, Fantasy",102,USA,English,"Victor Fleming, George Cukor","Noel Langley, Florence Ryerson",Metro-Goldwyn-Mayer (MGM),"Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr, Jack Haley, Billie Burke, Margaret Hamilton, Charley Grapewin, Pat Walshe, Clara Blandick, Terry, The Singer Midgets",2777000,24790250,26120538,641.0,160.0
tt0032455,Fantasia,1940,"Animation, Family, Fantasy",125,USA,English,"James Algar, Samuel Armstrong","Joe Grant, Dick Huemer",Walt Disney Productions,"Leopold Stokowski, Deems Taylor",2280000,76408097,76411401,322.0,110.0
tt0032910,Pinocchio,1940,"Animation, Comedy, Family",88,USA,English,"Norman Ferguson, T. Hee","Carlo Collodi, Ted Sears",Walt Disney Productions,"Mel Blanc, Don Brodie, Stuart Buchanan, Walter Catlett, Marion Darlington, Frankie Darro, Cliff Edwards, Dickie Jones, Charles Judels, John McLeish, Patricia Page, Christian Rub, Evelyn Venable",2600000,84254167,121892045,183.0,131.0
tt0033467,Citizen Kane,1941,"Drama, Mystery",119,USA,"English, Italian",Orson Welles,"Herman J. Mankiewicz, Orson Welles",RKO Radio Pictures,"Joseph Cotten, Dorothy Comingore, Agnes Moorehead, Ruth Warrick, Ray Collins, Erskine Sanford, Everett Sloane, William Alland, Paul Stewart, George Coulouris, Fortunio Bonanova, Gus Schilling, Philip Van Zandt, Georgia Backus, Harry Shannon",839727,1585634,1594107,1371.0,265.0
tt0034167,Sergeant York,1941,"Biography, Drama, History",134,USA,"English, French, German",Howard Hawks,"Abem Finkel, Harry Chandlee",Warner Bros.,"Gary Cooper, Walter Brennan, Joan Leslie, George Tobias, Stanley Ridges, Margaret Wycherly, Ward Bond, Noah Beery Jr., June Lockhart, Dickie Moore, Clem Bevans, Howard Da Silva, Charles Trowbridge, Harvey Stephens, David Bruce",1400000,16361885,16364924,108.0,40.0
tt0034583,Casablanca,1942,"Drama, Romance, War",102,USA,"English, French, German, Italian",Michael Curtiz,"Julius J. Epstein, Philip G. Epstein",Warner Bros.,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Conrad Veidt, Sydney Greenstreet, Peter Lorre, S.Z. Sakall, Madeleine Lebeau, Dooley Wilson, Joy Page, John Qualen, Leonid Kinskey, Curt Bois",950000,4108411,4374761,1232.0,187.0
tt0035423,Kate & Leopold,2001,"Comedy, Fantasy, Romance",118,USA,"English, French",James Mangold,"Steven Rogers, James Mangold",Konrad Pictures,"Meg Ryan, Hugh Jackman, Liev Schreiber, Breckin Meyer, Natasha Lyonne, Bradley Whitford, Paxton Whitehead, Spalding Gray, Josh Stamberg, Matthew Sussman, Charlotte Ayanna, Philip Bosco, Andrew Jack, Stan Tracy, Kristen Schaal",48000000,47121859,76019048,330.0,127.0
tt0036868,The Best Years of Our Lives,1946,"Drama, Romance, War",170,USA,English,William Wyler,"Robert E. Sherwood, MacKinlay Kantor",The Samuel Goldwyn Company,"Myrna Loy, Fredric March, Dana Andrews, Teresa Wright, Virginia Mayo, Cathy O'Donnell, Hoagy Carmichael, Harold Russell, Gladys George, Roman Bohnen, Ray Collins, Minna Gombell, Walter Baldwin, Steve Cochran, Dorothy Adams",2100000,23650000,23656620,275.0,119.0
tt0037638,Detour,1945,"Crime, Drama, Film-Noir",68,USA,English,Edgar G. Ulmer,"Martin Goldsmith, Martin Goldsmith",Producers Releasing Corporation (PRC),"Tom Neal, Ann Savage, Claudia Drake, Edmund MacDonald, Tim Ryan, Esther Howard, Pat Gleason",30000,16172,16172,172.0,106.0
tt0038499,Duel in the Sun,1946,"Drama, Romance, Western",129,USA,English,"King Vidor, Otto Brower","David O. Selznick, Niven Busch",Selznick International Pictures,"Jennifer Jones, Joseph Cotten, Gregory Peck, Lionel Barrymore, Herbert Marshall, Lillian Gish, Walter Huston, Charles Bickford, Harry Carey, Joan Tetzel, Tilly Losch, Butterfly McQueen, Scott McKay, Otto Kruger, Sidney Blackmer",8000000,20408163,20428771,99.0,44.0
tt0039631,Monsieur Verdoux,1947,"Comedy, Crime, Drama",124,USA,English,Charles Chaplin,"Charles Chaplin, Orson Welles",Charles Chaplin Productions,"Charles Chaplin, Mady Correll, Allison Roddan, Robert Lewis, Audrey Betz, Martha Raye, Ada May, Isobel Elsom, Marjorie Bennett, Helene Heigh, Margaret Hoffman, Marilyn Nash, Irving Bacon, Edwin Mills, Virginia Brissac",2000000,64636,64636,80.0,63.0
tt0040897,The Treasure of the Sierra Madre,1948,"Adventure, Drama, Western",126,"USA, Mexico","English, Spanish",John Huston,"John Huston, B. Traven",Warner Bros.,"Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett, Barton MacLane, Alfonso Bedoya, Arturo Soto Rangel, Manuel DondÄ‚Â©, JosÄ‚Â© Torvay, Margarito Luna",3000000,215295,215295,256.0,94.0
tt0042192,All About Eve,1950,Drama,138,USA,"English, French",Joseph L. Mankiewicz,Joseph L. Mankiewicz,Twentieth Century Fox,"Bette Davis, Anne Baxter, George Sanders, Celeste Holm, Gary Merrill, Hugh Marlowe, Gregory Ratoff, Barbara Bates, Marilyn Monroe, Thelma Ritter, Walter Hampden, Randy Stuart, Craig Hill, Leland Harris, Barbara White",1400000,63463,150438,358.0,128.0
tt0042332,Cinderella,1950,"Animation, Family, Fantasy",74,USA,English,"Clyde Geronimi, Wilfred Jackson","Charles Perrault, Bill Peet",Walt Disney Productions,"Ilene Woods, Eleanor Audley, Verna Felton, Claire Du Brey, Rhoda Williams, James MacDonald, Helene Stanley, Luis Van Rooten, Don Barclay, Lucille Bliss, Jeffrey Stone, Mike Douglas, William Phipps, Marion Darlington, Earl Keen",2900000,93141149,95126535,140.0,126.0
tt0043014,Sunset Blvd.,1950,"Drama, Film-Noir",110,USA,English,Billy Wilder,"Charles Brackett, Billy Wilder",Paramount Pictures,"William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson, Fred Clark, Lloyd Gough, Jack Webb, Franklyn Farnum, Larry J. Blake, Charles Dayton, Cecil B. DeMille, Hedda Hopper, Buster Keaton, Anna Q. Nilsson, H.B. Warner",1752000,299645,299645,569.0,166.0
tt0044672,The Greatest Show on Earth,1952,"Drama, Family, Romance",152,USA,"English, Russian",Cecil B. DeMille,"Fredric M. Frank, BarrÄ‚Â© Lyndon",Paramount Pictures,"Betty Hutton, Cornel Wilde, Charlton Heston, Dorothy Lamour, Gloria Grahame, Henry Wilcoxon, Lyle Bettger, Lawrence Tierney, Emmett Kelly, Cucciola, Antoinette Concello, John Ringling North, Tuffy Genders, John Kellogg, John Ridgely",4000000,36000000,36000000,125.0,50.0
tt0045152,Singin' in the Rain,1952,"Comedy, Musical, Romance",103,USA,English,"Stanley Donen, Gene Kelly","Betty Comden, Adolph Green",Metro-Goldwyn-Mayer (MGM),"Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen, Millard Mitchell, Cyd Charisse, Douglas Fowley, Rita Moreno",2540800,1826108,1864182,619.0,150.0
