,year,duration,budget,usa_gross_income,worldwide_gross_income,Real GDP (trillions $),GDP Growth Rate %,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Sum_production_company_income,Sum_Director_income,Director_movies
0,2001,118,48000000,47121859,76019048,13.262,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,76019048,619021436,10
1,2010,109,117000000,76423035,261989769,15.599,2.6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,619021436,10
2,2013,126,120000000,132556852,414828246,16.495,1.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2789968301,619021436,10
3,2017,137,97000000,226277068,619021436,18.108,2.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2789968301,619021436,10
4,1999,127,40000000,28912646,48350205,12.611,4.8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1131845802,619021436,10
5,2003,90,28000000,52159536,90259536,13.879,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1131845802,619021436,10
6,1997,105,15000000,44862187,44862187,11.522,4.4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,306776732,619021436,10
7,2005,136,28000000,119519402,186438883,14.913,3.5,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,609016565,619021436,10
8,2007,122,55000000,53606916,70016220,15.626,1.9,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,694394724,619021436,10
9,2019,152,97600000,10941000,10941000,19.073,2.3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,710644566,619021436,10
10,1990,97,5500000,50367,50367,9.366,1.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,50367,50367,1
11,1990,104,20000000,21413502,21413502,9.366,1.9,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,255000211,13
12,1990,124,70000000,117540947,240247433,9.366,1.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2789968301,255000211,13
13,1993,113,70000000,84049211,255000211,9.952,2.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,520884847,255000211,13
14,1999,105,60000000,73648142,164648142,12.611,4.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1341932398,255000211,13
15,2004,114,80000000,41821986,76899937,14.406,3.8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,212385533,255000211,13
16,1995,124,98000000,10017322,10017322,10.63,2.7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10017322,255000211,13
17,2004,106,27000000,4480744,21148829,14.406,3.8,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,278019771,255000211,13
18,1996,121,65000000,33447612,89456761,11.031,3.8,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,89456761,255000211,13
19,2001,116,94000000,32720065,54744738,13.262,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,106371651,255000211,13
20,2006,97,20000000,23380495,37597471,15.338,2.9,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,196114570,255000211,13
21,2014,99,70000000,18848538,61279452,16.912,2.5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,829746820,255000211,13
22,2009,108,22000000,12234694,17280326,15.209,-2.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37466538,255000211,13
23,2011,113,12000000,17479,316944,15.841,1.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,316944,255000211,13
24,1990,138,17500000,947306,947306,9.366,1.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2789968301,141047179,6
25,1996,135,55000000,50047179,141047179,11.031,3.8,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,672806292,141047179,6
26,2003,130,38000000,19955598,38955598,13.879,2.9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1670400637,141047179,6
27,1991,118,12000000,14919570,14919570,9.355,-0.1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,211989043,141047179,6
28,1994,118,25000000,6562513,6562513,10.352,4.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,211989043,141047179,6
29,1999,145,50000000,13042112,13042112,12.611,4.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13042112,141047179,6
30,1990,96,10000000,2346150,2346150,9.366,1.9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,104942695,5
31,2003,84,20000000,1648818,1675706,13.879,2.9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1123794079,104942695,5
32,1990,110,20000000,35419397,35419397,9.366,1.9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,191502426,104942695,5
33,1996,105,25000000,10082005,10082005,11.031,3.8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,314178011,104942695,5
34,1993,111,22000000,44942695,104942695,9.952,2.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196567262,104942695,5
35,1990,105,20000000,56362352,86024005,9.366,1.9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2789968301,1025467110,15
36,2001,119,100000000,180011740,362211740,13.262,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2789968301,1025467110,15
37,2016,127,110000000,87242834,296482446,17.689,1.6,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2789968301,1025467110,15
