,genres,imdb_id,production_companies,Title,year,GDP in Trilion $,GDP growth rate %,Duration,Country,Director,Budget,USA_gross_income,Worldwide_gross_income
0,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",tt0114709,"[{'name': 'Pixar Animation Studios', 'id': 3}]",Toy Story,1995,10.63,2.7,81,USA,John Lasseter,30000000,222498679,406594102
1,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",tt0113497,"[{'name': 'TriStar Pictures', 'id': 559}, {'name': 'Teitler Film', 'id': 2550}, {'name': 'Interscope Communications', 'id': 10201}]",Jumanji,1995,10.63,2.7,104,USA,Joe Johnston,65000000,100499940,262821940
2,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt0114885,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]",Waiting to Exhale,1995,10.63,2.7,124,USA,Forest Whitaker,16000000,67052156,81452156
3,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",tt0113277,"[{'name': 'Regency Enterprises', 'id': 508}, {'name': 'Forward Pass', 'id': 675}, {'name': 'Warner Bros.', 'id': 6194}]",Heat,1995,10.63,2.7,170,USA,Michael Mann,60000000,67436818,187436818
4,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",tt0114576,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Imperial Entertainment', 'id': 21437}, {'name': 'Signature Entertainment', 'id': 23770}]",Sudden Death,1995,10.63,2.7,111,USA,Peter Hyams,35000000,20350171,64350171
5,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",tt0113189,"[{'name': 'United Artists', 'id': 60}, {'name': 'Eon Productions', 'id': 7576}]",GoldenEye,1995,10.63,2.7,130,"UK, USA",Martin Campbell,60000000,106429941,352194034
6,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt0112346,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Castle Rock Entertainment', 'id': 97}]",The American President,1995,10.63,2.7,114,USA,Rob Reiner,62000000,60079496,107879496
7,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",tt0113987,"[{'name': 'Hollywood Pictures', 'id': 915}, {'name': 'Cinergi Pictures Entertainment', 'id': 1504}]",Nixon,1995,10.63,2.7,192,USA,Oliver Stone,44000000,13681765,13681765
8,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",tt0112760,"[{'name': 'Le Studio Canal+', 'id': 183}, {'name': 'Laurence Mark Productions', 'id': 415}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}, {'name': 'Carolco Pictures', 'id': 14723}]",Cutthroat Island,1995,10.63,2.7,124,"France, Italy, Germany, USA",Renny Harlin,98000000,10017322,10017322
9,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",tt0112641,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Légende Entreprises', 'id': 10898}, {'name': 'Syalis DA', 'id': 11583}, {'name': 'De Fina-Cappa', 'id': 11584}]",Casino,1995,10.63,2.7,178,"USA, France",Martin Scorsese,52000000,42512375,116112375
10,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt0114388,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Mirage Enterprises', 'id': 932}]",Sense and Sensibility,1995,10.63,2.7,136,"USA, UK",Ang Lee,16000000,43182776,134582776
11,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",tt0113101,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'A Band Apart', 'id': 59}]",Four Rooms,1995,10.63,2.7,98,USA,"Allison Anders, Alexandre Rockwell",4000000,4257354,4257354
12,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",tt0112281,"[{'name': 'O Entertainment', 'id': 5682}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Morgan Creek Productions', 'id': 10210}]",Ace Ventura: When Nature Calls,1995,10.63,2.7,90,USA,Steve Oedekerk,30000000,108385533,212385533
13,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",tt0113845,"[{'name': 'Columbia Pictures', 'id': 5}]",Money Train,1995,10.63,2.7,110,USA,Joseph Ruben,68000000,35431113,35431113
14,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",tt0113161,"[{'name': 'Jersey Films', 'id': 216}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",Get Shorty,1995,10.63,2.7,105,USA,Barry Sonnenfeld,30250000,72101622,115101622
15,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",tt0112401,"[{'name': 'Silver Pictures', 'id': 1885}, {'name': 'Canal+', 'id': 5358}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Dino De Laurentiis Company', 'id': 10308}, {'name': 'Donner/Shuler-Donner Productions', 'id': 23397}, {'name': 'Evansgideon/Lazar', 'id': 25061}]",Assassins,1995,10.63,2.7,132,"France, USA",Richard Donner,50000000,30303072,30303072
