,Unnamed: 0,genres,imdb_id,production_companies,Title,year,GDP in Trilion $,GDP growth rate %,Duration,Country,Director,Budget,USA_gross_income,Worldwide_gross_income,DirectorGrossSum,ProductionCompSum,genre_10752,genre_12,genre_14,genre_16,genre_80,genre_18,genre_10769,genre_27,genre_28,genre_10402,genre_35,genre_36,genre_37,genre_878,genre_9648,genre_53,genre_10749,genre_10751
0,0,"[16, 35, 10751]",tt0114709,[3],Toy Story,1995,10.63,2.7,81,USA,John Lasseter,30000000,222498679,406594102,1.0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,1,"[12, 14, 10751]",tt0113497,"[559, 2550, 10201]",Jumanji,1995,10.63,2.7,104,USA,Joe Johnston,65000000,100499940,262821940,46704056.0,644621671.6666666,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,"[35, 18, 10749]",tt0114885,[306],Waiting to Exhale,1995,10.63,2.7,124,USA,Forest Whitaker,16000000,67052156,81452156,1.0,3220092674.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
3,3,"[28, 80, 18, 53]",tt0113277,"[508, 675, 6194]",Heat,1995,10.63,2.7,170,USA,Michael Mann,60000000,67436818,187436818,75505856.0,1502521629.6666667,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
4,4,"[28, 12, 53]",tt0114576,"[33, 21437, 23770]",Sudden Death,1995,10.63,2.7,111,USA,Peter Hyams,35000000,20350171,64350171,112382982.0,1225619594.3333333,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
5,5,"[12, 28, 53]",tt0113189,"[60, 7576]",GoldenEye,1995,10.63,2.7,130,"UK, USA",Martin Campbell,60000000,106429941,352194034,15339030.0,59973179.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
6,6,"[35, 18, 10749]",tt0112346,"[5, 97]",The American President,1995,10.63,2.7,114,USA,Rob Reiner,62000000,60079496,107879496,304517050.0,509481348.5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
7,7,"[36, 18]",tt0113987,"[915, 1504]",Nixon,1995,10.63,2.7,192,USA,Oliver Stone,44000000,13681765,13681765,290105157.0,317891697.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
8,8,"[28, 12]",tt0112760,"[183, 415, 8411, 14723]",Cutthroat Island,1995,10.63,2.7,124,"France, Italy, Germany, USA",Renny Harlin,98000000,10017322,10017322,255000211.0,321448328.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,9,"[18, 80]",tt0112641,"[33, 10898, 11583, 11584]",Casino,1995,10.63,2.7,178,"USA, France",Martin Scorsese,52000000,42512375,116112375,214547409.0,919214695.75,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10,10,"[18, 10749]",tt0114388,"[441, 932]",Sense and Sensibility,1995,10.63,2.7,136,"USA, UK",Ang Lee,16000000,43182776,134582776,1.0,516048572.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
11,11,"[80, 35]",tt0113101,"[14, 59]",Four Rooms,1995,10.63,2.7,98,USA,"Allison Anders, Alexandre Rockwell",4000000,4257354,4257354,1.0,251970796.5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12,12,"[80, 35, 12]",tt0112281,"[5682, 6194, 10210]",Ace Ventura: When Nature Calls,1995,10.63,2.7,90,USA,Steve Oedekerk,30000000,108385533,212385533,1.0,1529056234.6666667,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
