,year,duration,budget,usa_gross_income,worldwide_gross_income,Real GDP (trillions $),GDP Growth Rate %,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Sum_production_company_income,Sum_Director_income,Director_movies,Production_company_movies,avg Director revenue,avg Studio revenue,Classification
0,2001,118.0,48000000.0,47121859.0,76019048.0,13.262,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,76019048.0,619021436.0,10.0,1.0,61902143.6,7601904.8,0.0
1,2010,109.0,117000000.0,76423035.0,261989769.0,15.599,2.6,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2789968301.0,619021436.0,10.0,187.0,61902143.6,278996830.1,1.0
2,2013,126.0,120000000.0,132556852.0,414828246.0,16.495,1.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2789968301.0,619021436.0,10.0,187.0,61902143.6,278996830.1,1.0
3,2017,137.0,97000000.0,226277068.0,619021436.0,18.108,2.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2789968301.0,619021436.0,10.0,187.0,61902143.6,278996830.1,1.0
4,1990,104.0,20000000.0,21413502.0,21413502.0,9.366,1.9,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2789968301.0,255000211.0,13.0,187.0,19615400.846153848,214612946.23076922,0.0
5,1990,124.0,70000000.0,117540947.0,240247433.0,9.366,1.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2789968301.0,255000211.0,13.0,187.0,19615400.846153848,214612946.23076922,1.0
6,1990,138.0,17500000.0,947306.0,947306.0,9.366,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2789968301.0,141047179.0,6.0,187.0,23507863.166666668,464994716.8333333,0.0
7,1990,96.0,10000000.0,2346150.0,2346150.0,9.366,1.9,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2789968301.0,104942695.0,5.0,187.0,20988539.0,557993660.2,0.0
8,1990,105.0,20000000.0,56362352.0,86024005.0,9.366,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2789968301.0,1025467110.0,15.0,187.0,68364474.0,185997886.73333332,1.0
9,2001,119.0,100000000.0,180011740.0,362211740.0,13.262,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2789968301.0,1025467110.0,15.0,187.0,68364474.0,185997886.73333332,1.0
10,2016,127.0,110000000.0,87242834.0,296482446.0,17.689,1.6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2789968301.0,1025467110.0,15.0,187.0,68364474.0,185997886.73333332,1.0
11,1991,107.0,17000000.0,4603929.0,4603929.0,9.355,-0.1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2789968301.0,4603929.0,1.0,187.0,4603929.0,2789968301.0,0.0
12,1991,84.0,26000000.0,69467617.0,181096164.0,9.355,-0.1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2789968301.0,181096164.0,3.0,187.0,60365388.0,929989433.6666666,1.0
13,1993,86.0,25000000.0,38922972.0,133752825.0,9.952,2.8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2789968301.0,181096164.0,3.0,187.0,60365388.0,929989433.6666666,1.0
14,1991,99.0,19000000.0,101599005.0,174999005.0,9.355,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2789968301.0,174999005.0,5.0,187.0,34999801.0,557993660.2,1.0
15,1993,87.0,17000000.0,44789789.0,60613008.0,9.952,2.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2789968301.0,174999005.0,5.0,187.0,34999801.0,557993660.2,1.0
16,1992,114.0,50000000.0,55473545.0,159814498.0,9.685,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2789968301.0,369330363.0,10.0,187.0,36933036.3,278996830.1,1.0
