,year,duration,budget,usa_gross_income,worldwide_gross_income,Real GDP (trillions $),GDP Growth Rate %,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Sum_production_company_income,Sum_Director_income,Director_movies,Production_company_movies
0,2001,118,48000000,47121859,76019048,13.262,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,76019048,619021436,10,1
1,2010,109,117000000,76423035,261989769,15.599,2.6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,619021436,10,187
2,2013,126,120000000,132556852,414828246,16.495,1.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2789968301,619021436,10,187
3,2017,137,97000000,226277068,619021436,18.108,2.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2789968301,619021436,10,187
4,1990,104,20000000,21413502,21413502,9.366,1.9,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,255000211,13,187
5,1990,124,70000000,117540947,240247433,9.366,1.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2789968301,255000211,13,187
6,1990,138,17500000,947306,947306,9.366,1.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2789968301,141047179,6,187
7,1990,96,10000000,2346150,2346150,9.366,1.9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,104942695,5,187
8,1990,105,20000000,56362352,86024005,9.366,1.9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2789968301,1025467110,15,187
9,2001,119,100000000,180011740,362211740,13.262,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2789968301,1025467110,15,187
10,2016,127,110000000,87242834,296482446,17.689,1.6,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2789968301,1025467110,15,187
11,1991,107,17000000,4603929,4603929,9.355,-0.1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,4603929,1,187
12,1991,84,26000000,69467617,181096164,9.355,-0.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,181096164,3,187
13,1993,86,25000000,38922972,133752825,9.952,2.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,181096164,3,187
14,1991,99,19000000,101599005,174999005,9.355,-0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2789968301,174999005,5,187
15,1993,87,17000000,44789789,60613008,9.952,2.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2789968301,174999005,5,187
