,Unnamed: 0,Column,imdb_title_id,title,year,genre,duration,country,language,director,production_company,budget,usa_gross_income,worlwide_gross_income,Real GDP (trillions $),GDP Growth Rate %,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Sum_production_company_income,Sum_Director_income
0,0,0,tt0035423,Kate & Leopold,2001,"Comedy, Fantasy, Romance",118,USA,"English, French",James Mangold,Konrad Pictures,48000000,47121859,76019048,13.262,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,76019048,619021436
1,3491,3491,tt1013743,Knight and Day,2010,"Action, Adventure, Comedy",109,USA,"English, German, Spanish",James Mangold,Twentieth Century Fox,117000000,76423035,261989769,15.599,2.6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,619021436
2,4009,4009,tt1430132,The Wolverine,2013,"Action, Adventure, Sci-Fi",126,"USA, UK","English, Japanese",James Mangold,Twentieth Century Fox,120000000,132556852,414828246,16.495,1.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2789968301,619021436
3,4924,4924,tt3315342,Logan,2017,"Action, Drama, Sci-Fi",137,USA,"English, Spanish",James Mangold,Twentieth Century Fox,97000000,226277068,619021436,18.108,2.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2789968301,619021436
4,1479,1479,tt0172493,"Girl, Interrupted",1999,"Biography, Drama",127,"USA, Germany",English,James Mangold,Columbia Pictures,40000000,28912646,48350205,12.611,4.8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1131845802,619021436
5,2086,2086,tt0309698,Identity,2003,"Mystery, Thriller",90,USA,English,James Mangold,Columbia Pictures,28000000,52159536,90259536,13.879,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1131845802,619021436
6,932,932,tt0118887,Cop Land,1997,"Crime, Drama, Thriller",105,USA,English,James Mangold,Miramax,15000000,44862187,44862187,11.522,4.4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,306776732,619021436
7,2316,2316,tt0358273,Walk the Line,2005,"Biography, Drama, Music",136,"USA, Germany","English, Russian",James Mangold,Fox 2000 Pictures,28000000,119519402,186438883,14.913,3.5,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,609016565,619021436
8,2475,2475,tt0381849,3:10 to Yuma,2007,"Action, Crime, Drama",122,USA,"English, Chinese",James Mangold,Lionsgate,55000000,53606916,70016220,15.626,1.9,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,694394724,619021436
9,4478,4478,tt1950186,Ford v Ferrari,2019,"Action, Biography, Drama",152,"USA, France","English, Italian, French, Japanese",James Mangold,Chernin Entertainment,97600000,10941000,10941000,19.073,2.3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,710644566,619021436
10,1,1,tt0098375,Spontaneous Combustion,1990,"Horror, Sci-Fi, Thriller",97,USA,English,Tobe Hooper,Black Owl Productions,5500000,50367,50367,9.366,1.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,50367,50367
11,2,2,tt0098987,The Adventures of Ford Fairlane,1990,"Action, Adventure, Comedy",104,USA,English,Renny Harlin,Twentieth Century Fox,20000000,21413502,21413502,9.366,1.9,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2789968301,255000211
12,24,24,tt0099423,Die Hard 2,1990,"Action, Thriller",124,USA,"English, Spanish",Renny Harlin,Twentieth Century Fox,70000000,117540947,240247433,9.366,1.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2789968301,255000211
13,351,351,tt0106582,Cliffhanger,1993,"Action, Adventure, Thriller",113,"USA, Italy, France",English,Renny Harlin,Carolco Pictures,70000000,84049211,255000211,9.952,2.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,520884847,255000211
14,1354,1354,tt0149261,Deep Blue Sea,1999,"Action, Adventure, Sci-Fi",105,"USA, Mexico","English, Spanish",Renny Harlin,Warner Bros.,60000000,73648142,164648142,12.611,4.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1341932398,255000211
15,1605,1605,tt0204313,Exorcist: The Beginning,2004,"Horror, Mystery, Thriller",114,USA,English,Renny Harlin,Morgan Creek Entertainment,80000000,41821986,76899937,14.406,3.8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,212385533,255000211
