,imdb_title_id,title,year,genre,duration,country,language,director,production_company,budget,usa_gross_income,worlwide_gross_income,Real GDP (trillions $),GDP Growth Rate %
0,tt0035423,Kate & Leopold,2001,"Comedy, Fantasy, Romance",118,USA,"English, French",James Mangold,Konrad Pictures,48000000,47121859,76019048,13.262,1.0
1,tt0098375,Spontaneous Combustion,1990,"Horror, Sci-Fi, Thriller",97,USA,English,Tobe Hooper,Black Owl Productions,5500000,50367,50367,9.366,1.9
2,tt0098987,The Adventures of Ford Fairlane,1990,"Action, Adventure, Comedy",104,USA,English,Renny Harlin,Twentieth Century Fox,20000000,21413502,21413502,9.366,1.9
3,tt0099005,Air America,1990,"Action, Comedy, War",113,USA,"English, Lao",Roger Spottiswoode,Carolco Pictures,35000000,31053601,33461269,9.366,1.9
4,tt0099012,Alice,1990,"Comedy, Romance",106,USA,"English, Cantonese",Woody Allen,Jack Rollins & Charles H. Joffe Productions,12000000,7331647,7331647,9.366,1.9
5,tt0099018,Almost an Angel,1990,"Comedy, Drama",95,USA,English,John Cornell,Ironbark Films,25000000,6939946,6939946,9.366,1.9
6,tt0099044,Another 48 Hrs.,1990,"Action, Comedy, Crime",93,USA,"English, Cantonese",Walter Hill,Paramount Pictures,38000000,80818974,153518974,9.366,1.9
7,tt0099052,Arachnophobia,1990,"Comedy, Fantasy, Horror",109,USA,"English, Spanish",Frank Marshall,Hollywood Pictures,22000000,53208180,53208180,9.366,1.9
8,tt0099077,Awakenings,1990,"Biography, Drama",121,USA,English,Penny Marshall,Columbia Pictures,31000000,52096475,52096475,9.366,1.9
9,tt0099088,Back to the Future Part III,1990,"Adventure, Comedy, Sci-Fi",118,USA,English,Robert Zemeckis,Universal Pictures,40000000,88277583,246144250,9.366,1.9
10,tt0099091,Bad Influence,1990,"Drama, Thriller",99,USA,English,Curtis Hanson,Epic Productions,7000000,12626043,12626043,9.366,1.9
11,tt0099141,Bird on a Wire,1990,"Action, Comedy",110,USA,English,John Badham,Universal Pictures,20000000,70978012,138697012,9.366,1.9
12,tt0099165,The Bonfire of the Vanities,1990,"Comedy, Drama, Romance",125,USA,English,Brian De Palma,Warner Bros.,47000000,15691192,15691192,9.366,1.9
13,tt0099173,Brain Dead,1990,"Horror, Mystery, Sci-Fi",85,USA,English,Adam Simon,Concorde Pictures,2000000,1627955,1627955,9.366,1.9
14,tt0099253,Child's Play 2,1990,"Horror, Thriller",84,USA,English,John Lafia,Universal Pictures,13000000,28501605,35763605,9.366,1.9
15,tt0099277,Class of 1999,1990,"Action, Horror, Sci-Fi",99,USA,English,Mark L. Lester,Lightning Pictures,5200000,2459895,2459895,9.366,1.9
16,tt0099291,Come See the Paradise,1990,"Drama, Romance, War",138,USA,"English, Japanese",Alan Parker,Twentieth Century Fox,17500000,947306,947306,9.366,1.9
17,tt0099329,Cry-Baby,1990,"Comedy, Musical",85,USA,English,John Waters,Universal Pictures,11000000,8266343,8266343,9.366,1.9
18,tt0099348,Dances with Wolves,1990,"Adventure, Drama, Western",181,"USA, UK","English, Sioux, Pawnee",Kevin Costner,Tig Productions,22000000,184208848,424208848,9.366,1.9
19,tt0099365,Darkman,1990,"Action, Sci-Fi, Thriller",96,USA,English,Sam Raimi,Renaissance Pictures,16000000,33878502,48878502,9.366,1.9
20,tt0099371,Days of Thunder,1990,"Action, Drama, Sport",107,USA,"English, French",Tony Scott,Don Simpson/Jerry Bruckheimer Films,60000000,82670733,157920733,9.366,1.9
21,tt0099385,Death Warrant,1990,"Action, Crime, Mystery",89,"Canada, USA",English,Deran Sarafian,Cannon Films,4000000,16853487,16853487,9.366,1.9
22,tt0099409,Desperate Hours,1990,"Action, Crime, Drama",105,USA,English,Michael Cimino,Dino De Laurentiis Company,18000000,2742912,2742912,9.366,1.9
23,tt0099422,Dick Tracy,1990,"Action, Comedy, Crime",105,USA,English,Warren Beatty,Touchstone Pictures,47000000,103738726,162738726,9.366,1.9
24,tt0099423,Die Hard 2,1990,"Action, Thriller",124,USA,"English, Spanish",Renny Harlin,Twentieth Century Fox,70000000,117540947,240247433,9.366,1.9
25,tt0099450,Don't Tell Her It's Me,1990,"Comedy, Romance",101,"UK, USA",English,Malcolm Mowbray,Hemdale,6700000,1171762,1171762,9.366,1.9
26,tt0099460,Downtown,1990,"Action, Comedy, Crime",96,USA,English,Richard Benjamin,Twentieth Century Fox,10000000,2346150,2346150,9.366,1.9
27,tt0099487,Edward Scissorhands,1990,"Drama, Fantasy, Romance",105,USA,English,Tim Burton,Twentieth Century Fox,20000000,56362352,86024005,9.366,1.9
28,tt0099520,Everybody Wins,1990,"Drama, Mystery, Thriller",97,"UK, USA",English,Karel Reisz,Recorded Picture Company (RPC),16000000,1372350,1372350,9.366,1.9
29,tt0099575,Fire Birds,1990,"Action, Adventure",85,USA,English,David Green,Nova International Films,22000000,14760451,14760451,9.366,1.9
30,tt0099578,The First Power,1990,"Crime, Horror, Thriller",98,USA,English,Robert Resnikoff,Interscope Communications,10000000,22424195,22424195,9.366,1.9
31,tt0099582,Flatliners,1990,"Drama, Horror, Sci-Fi",115,USA,English,Joel Schumacher,Columbia Pictures,26000000,61489265,61489265,9.366,1.9
32,tt0099587,Flight of the Intruder,1991,"Action, Drama, Thriller",115,USA,English,John Milius,Paramount Pictures,35000000,14587732,14587732,9.355,-0.1
33,tt0099611,Frankenhooker,1990,"Comedy, Horror, Sci-Fi",85,USA,"English, Swedish",Frank Henenlotter,Levins-Henenlotter,2500000,205068,205068,9.366,1.9
34,tt0099612,Roger Corman's Frankenstein Unbound,1990,"Drama, Horror, Sci-Fi",85,USA,English,Roger Corman,The Mount Company,11500000,334748,334748,9.366,1.9
35,tt0099653,Ghost,1990,"Drama, Fantasy, Romance",127,USA,English,Jerry Zucker,Paramount Pictures,22000000,217631306,505706694,9.366,1.9
36,tt0099674,The Godfather: Part III,1990,"Crime, Drama",162,USA,"English, Italian, German, Latin",Francis Ford Coppola,Paramount Pictures,54000000,66666062,136766062,9.366,1.9
37,tt0099685,Goodfellas,1990,"Biography, Crime, Drama",146,USA,"English, Italian",Martin Scorsese,Warner Bros.,25000000,46836214,46879633,9.366,1.9
38,tt0099697,Graveyard Shift,1990,Horror,89,"USA, Japan",English,Ralph S. Singleton,Paramount Pictures,10500000,11582891,11582891,9.366,1.9
39,tt0099699,Green Card,1990,"Comedy, Drama, Romance",103,"France, Australia, USA","English, French, Spanish",Peter Weir,Touchstone Pictures,12500000,29888235,29888235,9.366,1.9
40,tt0099700,Gremlins 2: The New Batch,1990,"Comedy, Fantasy, Horror",106,USA,English,Joe Dante,Warner Bros.,50000000,41482207,41482207,9.366,1.9
41,tt0099739,Hard to Kill,1990,"Action, Crime, Drama",96,USA,English,Bruce Malmuth,Warner Bros.,10000000,47410827,47410827,9.366,1.9
42,tt0099740,Hardware,1990,"Sci-Fi, Thriller",94,"UK, USA",English,Richard Stanley,Palace Pictures,1500000,5728953,5728953,9.366,1.9
43,tt0099747,Havana,1990,"Drama, Romance, War",144,USA,"English, Spanish",Sydney Pollack,Mirage Enterprises,40000000,9243140,9645440,9.366,1.9
44,tt0099785,Home Alone,1990,"Comedy, Family",103,USA,English,Chris Columbus,Hughes Entertainment,18000000,285761243,476684675,9.366,1.9
45,tt0099797,The Hot Spot,1990,"Crime, Drama, Romance",130,USA,English,Dennis Hopper,Orion Pictures,13000000,1293976,1293976,9.366,1.9
46,tt0099800,House Party,1990,"Comedy, Music, Romance",100,USA,English,Reginald Hudlin,"Jackson/McHenry Company,The",2500000,26385627,26385627,9.366,1.9
47,tt0099810,The Hunt for Red October,1990,"Action, Adventure, Thriller",135,USA,"English, Russian",John McTiernan,Paramount Pictures,30000000,122012643,200512643,9.366,1.9
48,tt0099817,Dark Angel,1990,"Action, Crime, Horror",91,USA,English,Craig R. Baxley,Vision PDG,7000000,4348368,4348368,9.366,1.9
49,tt0099871,Jacob's Ladder,1990,"Drama, Horror, Mystery",113,USA,English,Adrian Lyne,Carolco Pictures,25000000,26118851,26118851,9.366,1.9
50,tt0099892,Joe Versus the Volcano,1990,"Comedy, Romance",102,USA,English,John Patrick Shanley,Warner Bros.,25000000,39404261,39404261,9.366,1.9
51,tt0099938,Kindergarten Cop,1990,"Comedy, Crime",111,USA,"English, Spanish",Ivan Reitman,Imagine Entertainment,15000000,91457688,201957688,9.366,1.9
52,tt0099991,The Last of the Finest,1990,"Action, Crime, Drama",106,USA,English,John Mackenzie,Orion Pictures,12000000,1531489,1531489,9.366,1.9
53,tt0099994,Leatherface: Texas Chainsaw Massacre III,1990,"Horror, Thriller",85,USA,English,Jeff Burr,Nicolas Entertainment,2000000,5765562,5765562,9.366,1.9
54,tt0100029,Lionheart,1990,"Action, Crime, Drama",108,USA,"English, Serbian",Sheldon Lettich,Imperial Entertainment Corporation,6000000,24078196,24271196,9.366,1.9
55,tt0100053,Loose Cannons,1990,"Action, Comedy, Crime",94,USA,English,Bob Clark,TriStar Pictures,15000000,5585154,5585154,9.366,1.9
56,tt0100114,Marked for Death,1990,"Action, Adventure, Crime",93,USA,English,Dwight H. Little,Victor & Grais,12000000,46044396,57968936,9.366,1.9
57,tt0100129,Meet the Applegates,1990,"Comedy, Fantasy, Horror",90,USA,English,Michael Lehmann,Cinemarque Entertainment,5000000,485772,485772,9.366,1.9
58,tt0100133,Memphis Belle,1990,"Action, Drama, War",107,"UK, Japan, USA",English,Michael Caton-Jones,Enigma Productions,23000000,27441977,27441977,9.366,1.9
59,tt0100140,Mermaids,1990,"Comedy, Drama, Romance",110,USA,English,Richard Benjamin,Orion Pictures,20000000,35419397,35419397,9.366,1.9
60,tt0100142,Metropolitan,1990,"Comedy, Drama, Romance",98,"USA, Spain",English,Whit Stillman,Westerly Films,230000,2960492,2960492,9.366,1.9
61,tt0100150,Miller's Crossing,1990,"Crime, Drama, Thriller",115,USA,"English, Italian, Irish, Yiddish","Joel Coen, Ethan Coen",Circle Films,14000000,5080409,5080409,9.366,1.9
62,tt0100157,Misery,1990,"Drama, Thriller",107,USA,English,Rob Reiner,Castle Rock Entertainment,20000000,61276872,61276872,9.366,1.9
63,tt0100168,Mo' Better Blues,1990,"Drama, Music, Romance",129,USA,English,Spike Lee,Universal Pictures,10000000,16153593,16153593,9.366,1.9
64,tt0100196,Mountains of the Moon,1990,"Adventure, Drama, History",136,USA,English,Bob Rafelson,Carolco Pictures,19000000,4011793,4011793,9.366,1.9
65,tt0100201,Mr. Destiny,1990,"Comedy, Fantasy, Romance",110,USA,English,James Orr,Laurence Mark Productions,20000000,15379253,15379253,9.366,1.9
66,tt0100258,Night of the Living Dead,1990,Horror,92,USA,English,Tom Savini,21st Century Film Corporation,4200000,5835247,5835247,9.366,1.9
67,tt0100260,Nightbreed,1990,"Action, Fantasy, Horror",102,"UK, Canada, USA",English,Clive Barker,Morgan Creek Entertainment,11000000,8862354,8862354,9.366,1.9
68,tt0100318,Pacific Heights,1990,Thriller,102,USA,English,John Schlesinger,Morgan Creek Entertainment,18000000,29381956,44926706,9.366,1.9
69,tt0100395,Postcards from the Edge,1990,"Comedy, Drama",101,USA,"English, Spanish",Mike Nichols,Columbia Pictures,22000000,39071603,39071603,9.366,1.9
70,tt0100403,Predator 2,1990,"Action, Horror, Sci-Fi",108,USA,English,Stephen Hopkins,Davis Entertainment,35000000,30669413,57120318,9.366,1.9
71,tt0100404,Presumed Innocent,1990,"Mystery, Thriller",127,USA,English,Alan J. Pakula,Warner Bros.,22000000,86303188,221303188,9.366,1.9
72,tt0100405,Pretty Woman,1990,"Comedy, Romance",119,USA,English,Garry Marshall,Touchstone Pictures,14000000,178406268,463406268,9.366,1.9
73,tt0100419,Problem Child,1990,"Comedy, Family",81,USA,English,Dennis Dugan,Universal Pictures,10000000,53470891,72270891,9.366,1.9
74,tt0100449,Quick Change,1990,"Comedy, Crime",89,USA,English,"Howard Franklin, Bill Murray",Devoted Productions,15000000,15260154,15260154,9.366,1.9
75,tt0100477,The Rescuers Down Under,1990,"Animation, Adventure, Crime",77,USA,English,"Hendel Butoy, Mike Gabriel",Silver Screen Partners IV,30000000,27931461,27931461,9.366,1.9
76,tt0100502,RoboCop 2,1990,"Action, Crime, Sci-Fi",117,USA,English,Irvin Kershner,Orion Pictures,35000000,45681173,45681173,9.366,1.9
77,tt0100507,Rocky V,1990,"Drama, Sport",104,USA,"English, Italian",John G. Avildsen,United Artists,42000000,40946358,119946358,9.366,1.9
78,tt0100514,The Rookie,1990,"Action, Crime, Drama",120,USA,English,Clint Eastwood,Warner Bros.,10000000,21633874,21633874,9.366,1.9
79,tt0100530,The Russia House,1990,"Drama, Romance, Thriller",123,USA,"English, Russian",Fred Schepisi,PathĂ„â€šĂ‚Â© Entertainment,21800000,22997992,22997992,9.366,1.9
80,tt0100602,A Shock to the System,1990,"Comedy, Crime, Thriller",88,USA,English,Jan Egleson,Brigand Films,12000000,3417056,3417056,9.366,1.9
81,tt0100611,Sibling Rivalry,1990,Comedy,87,USA,English,Carl Reiner,Castle Rock Entertainment,16000000,17854933,17854933,9.366,1.9
82,tt0100639,Slumber Party Massacre III,1990,"Comedy, Horror",87,USA,English,Sally Mattison,Concorde Pictures,350000,1242995,1242995,9.366,1.9
83,tt0100666,Spaced Invaders,1990,"Adventure, Comedy, Sci-Fi",100,USA,English,Patrick Read Johnson,Silver Screen Partners IV,3000000,15369573,15369573,9.366,1.9
84,tt0100680,Stanley & Iris,1990,"Drama, Romance",104,"USA, Canada",English,Martin Ritt,Metro-Goldwyn-Mayer (MGM),23000000,5820015,5820015,9.366,1.9
85,tt0100685,State of Grace,1990,"Action, Crime, Drama",134,"UK, USA",English,Phil Joanou,Cinehaus,18000000,1911542,1911542,9.366,1.9
86,tt0100740,Tales from the Darkside: The Movie,1990,"Comedy, Fantasy, Horror",93,USA,English,John Harrison,Paramount Pictures,3500000,16324573,16324573,9.366,1.9
87,tt0100758,Teenage Mutant Ninja Turtles,1990,"Action, Adventure, Comedy",93,"USA, Hong Kong","English, French",Steve Barron,888 Productions,13500000,135265915,201965915,9.366,1.9
88,tt0100802,Total Recall,1990,"Action, Sci-Fi, Thriller",113,"USA, Mexico",English,Paul Verhoeven,Carolco Pictures,65000000,119412921,261317921,9.366,1.9
89,tt0100814,Tremors,1990,"Comedy, Horror",96,USA,English,Ron Underwood,Universal Pictures,11000000,16667084,16667084,9.366,1.9
90,tt0100822,Tune in Tomorrow...,1990,"Comedy, Romance",107,USA,English,Jon Amiel,Odyssey,11000000,1794001,1794001,9.366,1.9
